,Time,SOC,Power_hardware,Power_sol_pan
1739,482.7777778,0.33759156088142755,20.18,0.0
1740,483.0555556,0.33737271537641306,5.4,0.0
1741,483.3333333,0.33715386116820023,5.4,0.0
1742,483.6111111,0.3369349983346386,5.4,0.0
1743,483.8888889,0.33671612687479596,5.4,0.0
1744,484.1666667,0.3364972468665369,5.4,0.0
1745,484.4444444,0.33627835815133866,5.4,0.0
1746,484.7222222,0.3360594608070623,5.4,0.0
1747,485.0,0.335840554832775,5.4,0.0
1748,485.2777778,0.335621640227544,5.4,0.0
1749,485.5555556,0.3354027170692484,5.4,0.0
1750,485.8333333,0.33518378519933345,5.4,0.0
1751,486.1111111,0.33436331966714805,20.18,0.0
1752,486.3888889,0.33354273315562055,20.18,0.0
1753,486.6666667,0.3327220259044052,20.18,0.0
1754,486.9444444,0.33190119726643313,20.18,0.0
1755,487.2222222,0.33108024748086656,20.18,0.0
1756,487.5,0.3302591764914116,20.18,0.0
1757,487.7777778,0.3294379842417284,20.18,0.0
1758,488.0555556,0.32861666451360294,20.18,0.0
1759,488.3333333,0.3277952136726487,20.18,0.0
1760,488.6111111,0.32697363194761253,20.18,0.0
1761,488.8888889,0.3261519192715525,20.18,0.0
1762,489.1666667,0.32593264727071025,5.4,0.0
1763,489.4444444,0.32571336622084257,5.4,0.0
1764,489.7222222,0.3254940761998646,5.4,0.0
1765,490.0,0.3252747772067566,5.4,0.0
1766,490.2777778,0.3250554692404986,5.4,0.0
1767,490.5555556,0.32483615237902447,5.4,0.0
1768,490.8333333,0.32461682573948464,5.4,0.0
1769,491.1111111,0.3243974891545098,5.4,0.0
1770,491.3888889,0.32417814262282585,5.4,0.0
1771,491.6666667,0.32395878622212676,5.4,0.0
1772,491.9444444,0.3237394197932051,5.4,0.0
1773,492.2222222,0.32230150234314653,35.18,0.0
1774,492.5,0.3208630672183553,35.18,0.0
1775,492.7777778,0.319424113763516,35.18,0.0
1776,493.0555556,0.3179846361352183,35.18,0.0
1777,493.3333333,0.31654462406561756,35.18,0.0
1778,493.6111111,0.31510407737903195,35.18,0.0
1779,493.8888889,0.31366299538013576,35.18,0.0
1780,494.1666667,0.31222131645620615,35.18,0.0
1781,494.4444444,0.31077903388334327,35.18,0.0
1782,494.7222222,0.3093361472662575,35.18,0.0
1783,495.0,0.30850203344162064,20.4,0.0
1784,495.2777778,0.3076677247568185,20.4,0.0
1785,495.5555556,0.3068332213548594,20.4,0.0
1786,495.8333333,0.3059985224773296,20.4,0.0
1787,496.1111111,0.3051636282667095,20.4,0.0
1788,496.3888889,0.30432853856489805,20.4,0.0
1789,496.6666667,0.3034932616185598,20.4,0.0
1790,496.9444444,0.3026577986592416,20.4,0.0
1791,497.2222222,0.30243745688338974,5.4,0.0
1792,497.5,0.3022171037505675,5.4,0.0
1793,497.7777778,0.3019967392590821,5.4,0.0
1794,498.0555556,0.3011699973669216,20.18,0.0
1795,498.3333333,0.3003430735154721,20.18,0.0
1796,498.6111111,0.29951596786666645,20.18,0.0
1797,498.8888889,0.2986886633740235,20.18,0.0
1798,499.1666667,0.29786114817212594,20.18,0.0
1799,499.4444444,0.297033421476565,20.18,0.0
1800,499.7222222,0.29620548339619135,20.18,0.0
1801,500.0,0.2953773337417213,20.18,0.0
1802,500.2777778,0.29454897232356525,20.18,0.0
1803,500.5555556,0.2937204152238214,20.18,0.0
1804,500.8333333,0.29289167506186725,20.18,0.0
1805,501.1111111,0.29267082915366,5.4,0.0
1806,501.3888889,0.2924499716924223,5.4,0.0
1807,501.6666667,0.2922291027559225,5.4,0.0
1808,501.9444444,0.292008222183394,5.4,0.0
1809,502.2222222,0.2917873300525999,5.4,0.0
1810,502.5,0.2915664263617942,5.4,0.0
1811,502.7777778,0.2913455111092305,5.4,0.0
1812,503.0555556,0.2911245843726956,5.4,0.0
1813,503.3333333,0.29090364599137886,5.4,0.0
1814,503.6111111,0.2906826960430621,5.4,0.0
1815,503.8888889,0.29046173452599694,5.4,0.0
1816,504.1666667,0.289632247125443,20.18,0.0
1817,504.4444444,0.2888025673829494,20.18,0.0
1818,504.7222222,0.2879726846444156,20.18,0.0
1819,505.0,0.28714259873926723,20.18,0.0
1820,505.2777778,0.28631230949667275,20.18,0.0
1821,505.5555556,0.28548181704451964,20.18,0.0
1822,505.8333333,0.2846511206135784,20.18,0.0
1823,506.1111111,0.2838202265663889,20.18,0.0
1824,506.3888889,0.28298914336163733,20.18,0.0
1825,506.6666667,0.28215787115372865,20.18,0.0
1826,506.9444444,0.2813264091991639,20.18,0.0
1827,507.2222222,0.2811049594725006,5.4,0.0
1828,507.5,0.2808834977615997,5.4,0.0
1829,507.7777778,0.28066202406458607,5.4,0.0
1830,508.0555556,0.28044053845931877,5.4,0.0
1831,508.3333333,0.2802190407844563,5.4,0.0
1832,508.6111111,0.2799975311178524,5.4,0.0
1833,508.8888889,0.2797760094359022,5.4,0.0
1834,509.1666667,0.27955447388842414,5.4,0.0
1835,509.4444444,0.27933292431331597,5.4,0.0
1836,509.7222222,0.27911136078772303,5.4,0.0
1837,510.0,0.2776529657196911,35.18,0.0
1838,510.2777778,0.2761937040886712,35.18,0.0
1839,510.5555556,0.2747335744760965,35.18,0.0
1840,510.8333333,0.2732725751562381,35.18,0.0
1841,511.1111111,0.27181071044477423,35.18,0.0
1842,511.3888889,0.27034797841917885,35.18,0.0
1843,511.6666667,0.2688843776759988,35.18,0.0
1844,511.9444444,0.26741985471415636,35.18,0.0
1845,512.2222222,0.2659543921018591,35.18,0.0
1846,512.5,0.2644879875905803,35.18,0.0
1847,512.7777778,0.2630206488382284,35.18,0.0
1848,513.0555556,0.2621745138210627,20.4,0.0
1849,513.3333333,0.2613281090324658,20.4,0.0
1850,513.6111111,0.2604814344924941,20.4,0.0
1851,513.8888889,0.2596344899161618,20.4,0.0
1852,514.1666667,0.25878727107139576,20.4,0.0
1853,514.4444444,0.2579397714528972,20.4,0.0
1854,514.7222222,0.257091991065821,20.4,0.0
1855,515.0,0.256243929609863,20.4,0.0
1856,515.2777778,0.2560208212046755,5.4,0.0
1857,515.5555556,0.2557976947411224,5.4,0.0
1858,515.8333333,0.2555745500542529,5.4,0.0
1859,516.1111111,0.2544059313751391,28.0,0.0
1860,516.3888889,0.2532367760199189,28.0,0.0
1861,516.6666667,0.2520671129183813,28.0,0.0
1862,516.9444444,0.2508969405096501,28.0,0.0
1863,517.2222222,0.2497262584939497,28.0,0.0
1864,517.5,0.2515878096852839,28.0,75.75374589231492
1865,517.7777778,0.2534477300063788,28.0,75.72491273831845
1866,518.0555556,0.2553068149176326,28.0,75.71187136568413
1867,518.3333333,0.25716564548976784,28.0,75.71350186538844
1868,518.6111111,0.25902497219137616,28.0,75.72879837508255
1869,518.8888889,0.26088542405739756,28.0,75.7568853841402
1870,519.1666667,0.2627474578651182,28.0,75.7970169100452
1871,519.4444444,0.2646118770610554,28.0,75.84855832525261
1872,519.7222222,0.2664791677516232,28.0,75.9109568497509
1873,520.0,0.26834985112959336,28.0,75.98370950326363
1874,520.2777778,0.27022487025660547,28.0,76.06633586177335
1875,520.5555556,0.27210458919062697,28.0,76.15835926191511
1876,520.8333333,0.27398933845990986,28.0,76.25929662717445
1877,521.1111111,0.27587948768911646,28.0,76.36865509979297
1878,521.3888889,0.27777535464119907,28.0,76.48593312161518
1879,521.6666667,0.2796773199860464,28.0,76.61062390476144
1880,521.9444444,0.28158567825337383,28.0,76.74221983051444
1881,522.2222222,0.2835004403524897,28.0,76.8802168793957
1882,522.5,0.28564030951171426,22.74,77.02411862094814
1883,522.7777778,0.2877865508210737,22.74,77.17343956689977
1884,523.0555556,0.2899396504424091,22.74,77.32770784865114
1885,523.3333333,0.2920998326178605,22.74,77.48646726513827
1886,523.6111111,0.2942670729589171,22.74,77.64927877775946
1887,523.8888889,0.29644140455220447,22.74,77.81572154179389
1888,524.1666667,0.29862316337399186,22.74,77.9853935585168
1889,524.4444444,0.3008129721441751,22.74,78.1579120210876
1890,524.7222222,0.30301090882906107,22.74,78.33291341902154
1891,525.0,0.3052165379098112,22.74,78.51005345150796
1892,525.2777778,0.30742991419380944,22.74,78.68900679372655
1893,525.5555556,0.30965130736093244,22.74,78.86946674936716
1894,525.8333333,0.31188085830712636,22.74,79.05114481654157
1895,526.1111111,0.3141183985061974,22.74,79.23377018950114
1896,526.3888889,0.3163637310265757,22.74,79.41708921365235
1897,526.6666667,0.3186167881591541,22.74,79.60086480577324
1898,526.9444444,0.3208773027960023,22.74,79.78487585282868
1899,527.2222222,0.3231452726783077,22.74,79.96891659607064
1900,527.5,0.32542073612847594,22.74,80.15279600988237
1901,527.7777778,0.3277036722234428,22.74,80.33633717499308
1902,528.0555556,0.329993885139023,22.74,80.51937665910613
1903,528.3333333,0.332291312329514,22.74,80.70176390018473
1904,528.6111111,0.33459580411962314,22.74,80.88336059992635
1905,528.8888889,0.3369072636356583,22.74,81.06404012701715
1906,529.1666667,0.33922559405482416,22.74,81.24368693427941
1907,529.4444444,0.3415506775774942,22.74,81.42219598746807
1908,529.7222222,0.3438824669849757,22.74,81.59947221039454
1909,530.0,0.3462209420592108,22.74,81.77542994414272
1910,530.2777778,0.3485660283286429,22.74,81.9499924229306
1911,530.5555556,0.3509175535669781,22.74,82.1230912644509
1912,530.8333333,0.35327543522512067,22.74,82.29466597891229
1913,531.1111111,0.3556393401045,22.74,82.46466349229146
1914,531.3888889,0.35800920327783486,22.74,82.63303768656108
